laname,unemp
E08000020,7419
E08000021,10652
E08000022,7304
E08000023,7145
E08000024,12016
E07000026,2553
E07000027,2365
E07000028,2847
E07000029,2235
E07000030,822
E07000031,1524
E08000001,9913
E08000002,5769
E08000003,21880
E08000004,8661
E08000005,9047
E08000006,9041
E08000007,8002
E08000008,8052
E08000009,6136
E08000010,11483
E07000117,3342
E07000118,2588
E07000119,1687
E07000120,2688
E07000121,3362
E07000122,3012
E07000123,4575
E07000124,852
E07000125,2090
E07000126,2421
E07000127,3180
E07000128,2464
E08000011,6926
E08000012,23980
E08000014,9708
E08000013,6640
E08000015,11939
E07000163,1003
E07000164,1670
E07000165,2931
E07000166,1116
E07000167,1029
E07000168,3371
E07000169,2154
E08000016,8738
E08000017,12697
E08000018,9821
E08000019,19626
E08000032,21224
E08000033,7394
E08000034,14465
E08000035,26786
E08000036,11702
E07000032,3503
E07000033,2612
E07000034,3557
E07000035,1394
E07000036,3742
E07000037,2576
E07000038,2697
E07000039,2125
E07000129,1963
E07000130,3864
E07000131,1517
E07000132,2448
E07000133,1067
E07000134,2361
E07000135,1314
E07000136,1969
E07000137,3966
E07000138,3533
E07000139,2290
E07000140,2532
E07000141,3248
E07000142,2497
E07000150,2222
E07000151,1731
E07000152,2136
E07000153,2728
E07000154,7223
E07000155,1476
E07000156,2562
E07000170,4140
E07000171,3294
E07000172,3156
E07000173,3391
E07000174,3547
E07000175,2995
E07000176,2222
E07000192,3311
E07000193,3171
E07000194,2531
E07000195,3378
E07000196,2670
E07000197,3028
E07000198,2031
E07000199,2541
E07000218,1662
E07000219,4363
E07000220,2613
E07000221,2154
E07000222,3118
E08000025,54114
E08000026,12532
E08000027,12064
E08000028,16049
E08000029,6304
E08000030,13006
E08000031,14127
E07000234,2070
E07000235,1690
E07000236,2877
E07000237,3071
E07000238,2675
E07000239,3041
E07000008,2641
E07000009,1747
E07000010,2931
E07000011,3957
E07000012,2499
E07000066,5846
E07000067,4014
E07000068,1667
E07000069,2289
E07000070,4223
E07000071,4456
E07000072,3259
E07000073,3043
E07000074,1381
E07000075,1836
E07000076,4533
E07000077,1527
E07000095,2825
E07000096,3829
E07000097,2849
E07000098,2650
E07000099,3145
E07000100,2715
E07000101,2925
E07000102,1984
E07000103,2692
E07000104,2687
E07000143,3302
E07000144,2314
E07000145,4258
E07000146,3901
E07000147,2404
E07000148,5060
E07000149,2439
E07000200,1879
E07000201,1412
E07000202,5212
E07000203,1789
E07000204,2463
E07000205,2394
E07000206,3724
E09000007,7755
E09000001,187
E09000012,13207
E09000013,7060
E09000014,11730
E09000019,8960
E09000020,5433
E09000022,14255
E09000023,12776
E09000025,15734
E09000028,13484
E09000030,13259
E09000032,9311
E09000033,7941
E09000002,9367
E09000003,11476
E09000004,7245
E09000005,13535
E09000006,8668
E09000008,14512
E09000009,13158
E09000010,13192
E09000011,11518
E09000015,7854
E09000016,7627
E09000017,8693
E09000018,8815
E09000021,3850
E09000024,6072
E09000026,10590
E09000027,4153
E09000029,5429
E09000031,11654
E07000004,3869
E07000005,1728
E07000006,1267
E07000007,4023
E07000061,2874
E07000062,3621
E07000063,2319
E07000064,2019
E07000065,2670
E07000084,3999
E07000085,2133
E07000086,2768
E07000087,2117
E07000088,2520
E07000089,1570
E07000090,3444
E07000091,3288
E07000092,2593
E07000093,2133
E07000094,1943
E07000105,3058
E07000106,3410
E07000107,3099
E07000108,3607
E07000109,3714
E07000110,3848
E07000111,2332
E07000112,3576
E07000113,4538
E07000114,5358
E07000115,2580
E07000116,2421
E07000177,2936
E07000178,3801
E07000179,2446
E07000180,2190
E07000181,1730
E07000207,2457
E07000208,1480
E07000209,2750
E07000210,1529
E07000211,2892
E07000212,1630
E07000213,2277
E07000214,1731
E07000215,1645
E07000216,2068
E07000217,2313
E07000223,1466
E07000224,3538
E07000225,2267
E07000226,3490
E07000227,2557
E07000228,2435
E07000229,2578
E07000040,2270
E07000041,2739
E07000042,1513
E07000043,2052
E07000044,1422
E07000045,2477
E07000046,1586
E07000047,1197
E07000048,1007
E07000049,1309
E07000050,1301
E07000051,899
E07000052,1616
E07000053,1854
E07000078,2878
E07000079,1491
E07000080,2084
E07000081,3791
E07000082,2306
E07000083,1682
E07000187,2297
E07000188,2972
E07000189,3170
E07000190,2223
E07000191,688
W06000001,2381
W06000002,3176
W06000003,3362
W06000004,2857
W06000005,4332
W06000006,4128
W06000023,2928
W06000008,1469
W06000009,3555
W06000010,4962
W06000011,6831
W06000012,4630
W06000013,4687
W06000014,3956
W06000015,11566
W06000016,8104
W06000024,2481
W06000018,6731
W06000019,3557
W06000020,3163
W06000021,2217
W06000022,5616
